region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
2,0,2,10,3.386379957,14.820179939,11.433799744,15.122800000
2,0,3,5,2.518520117,14.878919601,12.360400200,15.168800000
2,1,0,5,2.500859976,14.811459541,12.310600281,15.121100000
2,1,1,10,3.407040119,14.843740463,11.436699867,15.142400000
2,1,2,10,3.398699999,14.841400146,11.442700386,15.160100000
2,1,3,5,2.500880003,14.834380150,12.333499908,15.147000000
2,2,0,5,2.497179985,14.968680382,12.471500397,15.279800000
2,2,1,10,3.287899971,14.730899811,11.442999840,15.138000000
2,2,2,10,3.442039967,14.917639732,11.475600243,15.219800000
2,2,3,5,2.585479975,14.939680099,12.354200363,15.268800000
2,3,0,5,2.913840055,15.232580185,12.318739891,15.608300000
2,3,1,10,3.411760092,15.011059761,11.599300385,15.321600000
2,3,2,10,3.330280066,14.758580208,11.428299904,15.166900000
2,3,3,5,2.500099897,14.907600403,12.407500267,15.223500000
2,4,0,5,2.540499926,15.224900246,12.684399605,15.546000000
2,4,1,10,3.490600109,14.847299576,11.356699944,15.288200000
2,4,2,10,3.391119957,14.859720230,11.468600273,15.170000000
2,4,3,5,2.501960039,14.848259926,12.346300125,15.172600000
2,5,0,5,2.507900000,14.904700279,12.396800041,15.222700000
2,5,1,10,3.450000048,14.840800285,11.390800476,15.363500000
2,5,2,10,3.393620014,14.798020363,11.404399872,15.227700000
2,5,3,5,2.440759897,14.806859970,12.366100311,15.276300000
2,6,0,5,2.491339922,14.849140167,12.357799530,15.159700000
2,6,1,10,3.396539927,14.870639801,11.474100113,15.159100000
2,6,2,10,3.393860102,14.853460312,11.459600449,15.166200000
2,6,3,5,2.493560076,14.860759735,12.367199898,15.198100000
2,7,0,5,2.504800081,14.937999725,12.433199883,15.253600000
2,7,1,10,3.387360096,15.152259827,11.764900208,15.505100000
2,7,2,10,3.386399984,14.888799667,11.502400398,15.234000000
2,7,3,5,2.489300013,14.800600052,12.311300278,15.121500000
2,8,0,5,2.494280100,14.891880035,12.397600174,15.176400000
2,8,1,10,3.408159971,15.207859993,11.799699783,15.509200000
