region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,6,0,0,198598218,198598234,0.004680000,12.674099922,12.669420242,12.796000000
0,6,1,1,198598234,198598234,1.117900014,12.455499649,11.337599754,12.585000000
0,6,2,1,198598234,198598250,1.121979952,12.483380318,11.361399651,12.644000000
0,6,3,0,198598250,198598265,0.018120000,12.668919563,12.650799751,12.819000000
0,7,0,0,198598265,198598281,0.004760000,12.682359695,12.677599907,12.819000000
0,7,1,1,198598281,198598296,1.124379992,12.506679535,11.382300377,12.648000000
0,7,2,1,198598296,198598296,1.110839963,12.455140114,11.344300270,12.619000000
0,7,3,0,198598296,198598312,0.012240000,12.633379936,12.621139526,12.795000000
1,0,0,1,198598421,198598437,1.108639956,12.483639717,11.375000000,12.640000000
1,0,1,5,198598437,198598453,2.150219917,12.521519661,10.371299744,12.674000000
1,0,2,5,198598453,198598468,2.152280092,12.440979958,10.288700104,12.571000000
1,0,3,1,198598468,198598468,1.110579967,12.547780037,11.437199593,12.688000000
1,1,0,1,198598468,198598484,1.128080010,12.504179955,11.376099586,12.644000000
1,1,1,5,198598484,198598500,2.144819975,12.401519775,10.256699562,12.531000000
1,1,2,5,198598500,198598515,2.125000000,12.506199837,10.381199837,12.662000000
1,1,3,1,198598515,198598531,1.125380039,12.519579887,11.394200325,12.672000000
1,2,0,1,198598531,198598531,1.120059967,12.435759544,11.315699577,12.594000000
1,2,1,5,198598531,198598546,2.149980068,12.469539642,10.319560051,12.649000000
1,2,2,5,198598546,198598562,2.286279917,12.439279556,10.152999878,12.575000000
1,2,3,1,198598562,198598578,1.183899999,12.602800369,11.418899536,12.806000000
1,3,0,1,198598578,198598593,1.039260030,12.449560165,11.410300255,12.683000000
1,3,1,5,198598593,198598609,2.099580050,12.416580200,10.317000389,12.687000000
1,3,2,5,198598609,198598609,2.123660088,12.544460297,10.420800209,12.816000000
1,3,3,1,198598609,198598625,0.990819991,12.299619675,11.308799744,12.573000000
1,4,0,1,198598625,198598640,1.222419977,12.505620003,11.283200264,12.650000000
1,4,1,5,198598640,198598656,2.202800035,12.561599731,10.358799934,12.747000000
1,4,2,5,198598656,198598671,2.091959953,12.358559608,10.266599655,12.658000000
1,4,3,1,198598671,198598671,1.175220013,12.517020226,11.341799736,12.749000000
1,5,0,1,198598671,198598687,1.053460002,12.389659882,11.336199760,12.623000000
1,5,1,5,198598687,198598703,2.159640074,12.515040398,10.355400085,12.678000000
1,5,2,5,198598703,198598718,2.180180073,12.506179810,10.326000214,12.728000000
1,5,3,1,198598718,198598734,1.044239998,12.429840088,11.385600090,12.687000000
1,6,0,1,198598734,198598734,1.161100030,12.414400101,11.253299713,12.631000000
1,6,1,5,198598734,198598750,2.143019915,12.523420334,10.380399704,12.670000000
1,6,2,5,198598750,198598765,2.162400007,12.487199783,10.324799538,12.629000000
1,6,3,1,198598765,198598781,1.131000042,12.513400078,11.382399559,12.687000000
1,7,0,1,198598781,198598796,1.155740023,12.507439613,11.351699829,12.711000000
1,7,1,5,198598796,198598812,2.114619970,12.431920052,10.317299843,12.668000000
1,7,2,5,198598812,198598812,2.171380043,12.512200356,10.340820312,12.742000000
1,7,3,1,198598812,198598828,1.130959988,12.467160225,11.336199760,12.677000000
2,0,0,5,198598937,198598953,2.245779991,12.492580414,10.246800423,12.639000000
2,0,1,14,198598953,198598968,2.958019972,12.479720116,9.521699905,12.629000000
2,0,2,14,198598968,198598968,2.936939955,12.511440277,9.574500084,12.665000000
2,0,3,5,198598968,198598984,2.162519932,12.477820396,10.315299988,12.625000000
2,1,0,5,198598984,198599000,2.141580105,12.436679840,10.295100212,12.617000000
2,1,1,14,198599000,198599015,2.941299915,12.520899773,9.579600334,12.678000000
2,1,2,14,198599015,198599031,2.945699930,12.505999565,9.560299873,12.649000000
2,1,3,5,198599031,198599046,2.149739981,12.463640213,10.313899994,12.631000000
2,2,0,5,198599046,198599046,2.146780014,12.491979599,10.345199585,12.651000000
2,2,1,14,198599046,198599062,2.924940109,12.504440308,9.579500198,12.658000000
2,2,2,14,198599062,198599078,2.943820000,12.455619812,9.511799812,12.619000000
2,2,3,5,198599078,198599093,2.170720100,12.469340324,10.298620224,12.597000000
2,3,0,5,198599093,198599109,2.176280022,12.502980232,10.326700211,12.665000000
2,3,1,14,198599109,198599109,2.967319965,12.490619659,9.523300171,12.626000000
2,3,2,14,198599109,198599125,2.911839962,12.466139793,9.554300308,12.614000000
2,3,3,5,198599125,198599140,2.152559996,12.517060280,10.364500046,12.673000000
2,4,0,5,198599140,198599156,2.163539886,12.478639603,10.315099716,12.620000000
2,4,1,14,198599156,198599171,2.941119909,12.538220406,9.597100258,12.669000000
2,4,2,14,198599171,198599171,2.936739922,12.483240128,9.546500206,12.622000000
2,4,3,5,198599171,198599187,2.145940065,12.437140465,10.291199684,12.593000000
2,5,0,5,198599187,198599203,2.127460003,12.506460190,10.378999710,12.666000000
2,5,1,14,198599203,198599218,2.972579956,12.500080109,9.527500153,12.646000000
2,5,2,14,198599218,198599234,2.957200050,12.493700027,9.536499977,12.636000000
2,5,3,5,198599234,198599234,2.131740093,12.458040237,10.326299667,12.617000000
2,6,0,5,198599234,198599250,2.128400087,12.492799759,10.364399910,12.641000000
2,6,1,14,198599250,198599265,2.967920065,12.432220459,9.464300156,12.598000000
2,6,2,14,198599265,198599281,2.972640038,12.486000061,9.513360023,12.635000000
2,6,3,5,198599281,198599296,2.135819912,12.499420166,10.363599777,12.639000000
2,7,0,5,198599296,198599312,2.150239944,12.495039940,10.344799995,12.658000000
2,7,1,14,198599312,198599312,2.953759909,12.474659920,9.520899773,12.631000000
2,7,2,14,198599312,198599328,2.920680046,12.508379936,9.587699890,12.664000000
2,7,3,5,198599328,198599343,2.121380091,12.419879913,10.298500061,12.582000000
3,0,0,14,198599453,198599468,2.915640116,12.467140198,9.551500320,12.648000000
3,0,1,27,198599468,198599484,3.783699989,12.577699661,8.793999672,12.742000000
