frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,150,deep_fast,vit_attention_fused_400_bytein,block38,800,32,204800,13.839440346,13.913840294,0.074400000,23.410200119,_;_;400
0,151,deep_fast,vit_project_frag,block38,1600,32,409600,13.916080475,14.003760338,0.087679997,23.410200119,_;_;_;_;400;1024;1024
0,152,deep,vit_gather,block39,1600,256,409600,14.005960464,14.058400154,0.052439999,23.410200119,_;_;_;409600
0,153,deep_fast,decoder_project2x_h16w,block39,800,32,204800,14.064840317,14.135120392,0.070280001,23.410200119,_;_;_;_;25;16;50;30;1024;512
0,154,mh,mh_shift_pack,block40,3584,256,917504,14.138079643,14.191639900,0.053560000,23.410200119,_;_;50;30;56;32;0;0;512;0
0,155,deep_fast,split_mix_blocked_h16w,block40,896,32,917504,14.199359894,14.264120102,0.064760000,23.410200119,_;_;_;1792
0,156,deep_fast,split_ffn_fused_fp8_t8,block40,896,128,917504,14.267439842,14.326959610,0.059519999,23.410200119,_;_;_;_;1792
0,157,deep_fast,split_projection_frag,block40,896,32,917504,14.328519821,14.383760452,0.055240002,23.410200119,_;_;_;_;_;1792
0,158,mh_fast,mh_qkv_normalize_frag_c512,block40,2688,32,2752512,14.387519836,14.461199760,0.073679999,23.410200119,_;_;_;1792
0,159,mh_fused,mh_attention_fused_fp8_out,block40,448,128,448,14.462559700,14.523480415,0.060920000,23.410200119,_;_;_;56;32;512
0,160,mh_fast,mh_attention_project_frag_c512,block40,896,32,917504,14.524959564,14.591520309,0.066560000,23.410200119,_;_;_;_;1792;0;50;30;56;0;0
0,161,mh,mh_shift_pack,block41,4480,256,1146880,14.594519615,14.649439812,0.054919999,23.410200119,_;_;50;30;56;40;4;4;512;0
0,162,deep_fast,split_mix_blocked_h16w,block41,1120,32,1146880,14.655960083,14.727680206,0.071719997,23.410200119,_;_;_;2240
0,163,deep_fast,split_ffn_fused_fp8_t8,block41,1120,128,1146880,14.731519699,14.802680016,0.071160004,23.410200119,_;_;_;_;2240
0,164,deep_fast,split_projection_frag,block41,1120,32,1146880,14.804120064,14.863880157,0.059760001,23.410200119,_;_;_;_;_;2240
0,165,mh_fast,mh_qkv_normalize_frag_c512,block41,3360,32,3440640,14.868160248,14.945799828,0.077639997,23.410200119,_;_;_;2240
0,166,mh_fused,mh_attention_fused_fp8_out,block41,560,128,560,14.948399544,14.986000061,0.037599999,23.410200119,_;_;_;56;40;512
0,167,mh_fast,mh_attention_project_frag_c512,block41,1120,32,1146880,14.987400055,15.052960396,0.065559998,23.410200119,_;_;_;_;2240;0;50;30;56;4;4
0,168,mh,mh_shift_pack,block44,3584,256,917504,15.055999756,15.111000061,0.055000000,23.410200119,_;_;50;30;56;32;0;0;512;0
0,169,deep_fast,split_mix_blocked_h16w,block44,896,32,917504,15.117239952,15.180560112,0.063320003,23.410200119,_;_;_;1792
0,170,deep_fast,split_ffn_fused_fp8_t8,block44,896,128,917504,15.183839798,15.248359680,0.064520001,23.410200119,_;_;_;_;1792
0,171,deep_fast,split_projection_frag,block44,896,32,917504,15.249919891,15.334039688,0.084119998,23.410200119,_;_;_;_;_;1792
0,172,mh_fast,mh_qkv_normalize_frag_c512,block44,2688,32,2752512,15.337840080,15.412039757,0.074199997,23.410200119,_;_;_;1792
0,173,mh_fused,mh_attention_fused_fp8_out,block44,448,128,448,15.413439751,15.475999832,0.062560000,23.410200119,_;_;_;56;32;512
0,174,mh_fast,mh_attention_project_frag_c512,block44,896,32,917504,15.477479935,15.551639557,0.074160002,23.410200119,_;_;_;_;1792;0;50;30;56;0;0
0,175,mh,mh_shift_pack,block45,4480,256,1146880,15.554599762,15.608719826,0.054120000,23.410200119,_;_;50;30;56;40;4;4;512;0
0,176,deep_fast,split_mix_blocked_h16w,block45,1120,32,1146880,15.615200043,15.686400414,0.071199998,23.410200119,_;_;_;2240
0,177,deep_fast,split_ffn_fused_fp8_t8,block45,1120,128,1146880,15.690199852,15.759039879,0.068839997,23.410200119,_;_;_;_;2240
0,178,deep_fast,split_projection_frag,block45,1120,32,1146880,15.760519981,15.822279930,0.061760001,23.410200119,_;_;_;_;_;2240
