slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
7,0,12,2,1,259643140,259643156,5.876080036,12.597060204,6.720980167,12.747000000,1
7,0,12,3,0,259643156,259643171,5.774260044,12.573960304,6.799699783,12.708000000,1
7,0,13,0,0,259643171,259643187,5.792920113,12.599320412,6.806399822,12.730000000,1
7,0,13,1,1,259643187,259643203,5.825920105,12.580019951,6.754099846,12.729000000,1
7,0,13,2,1,259643203,259643203,5.880360126,12.577139854,6.696780205,12.718000000,1
7,0,13,3,0,259643203,259643218,5.786560059,12.587539673,6.800980091,12.727000000,1
7,0,14,0,0,259643218,259643234,5.752439976,12.580940247,6.828499794,12.728000000,1
7,0,14,1,1,259643234,259643250,5.836480141,12.518879890,6.682400227,12.805000000,1
7,0,14,2,1,259643250,259643265,5.841859818,12.619059563,6.777200222,12.788000000,1
7,0,14,3,0,259643265,259643265,5.813159943,12.571760178,6.758600235,12.731000000,1
7,0,15,0,0,259643265,259643281,5.802879810,12.623080254,6.820199966,12.757000000,1
7,0,15,1,1,259643281,259643296,5.896979809,12.746979713,6.849999905,12.876000000,1
7,0,15,2,1,259643296,259643312,5.803860188,12.543660164,6.739799976,12.757000000,1
7,0,15,3,0,259643312,259643328,5.759719849,12.505120277,6.745399952,12.660000000,1
