kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp16,16,1024,2048,1,2,196291625,196291984,364.530000000,364.268127441,35184372088832,193.039651545,193.178427857
fp16,16,1024,2048,2,2,196291984,196292343,361.930000000,361.677429199,35184372088832,194.426392335,194.562166441
fp16,16,1024,2048,3,2,196292343,196292718,366.281000000,366.152130127,35184372088832,192.116828822,192.184445720
fp16,16,1024,2048,4,2,196292718,196293078,364.723000000,364.496154785,35184372088832,192.937501001,193.057576202
fp32,1,64,8192,0,439,196293203,196293343,134.081000000,133.749984741,4294967296,14.062325333,14.097127911
fp32,1,64,8192,1,439,196293343,196293468,134.263000000,133.838119507,4294967296,14.043263170,14.087844703
fp32,1,64,8192,2,439,196293468,196293609,134.499000000,134.095428467,4294967296,14.018622019,14.060812248
fp32,1,64,8192,3,439,196293609,196293750,135.147000000,134.832305908,4294967296,13.951405824,13.983967939
fp32,1,64,8192,4,439,196293750,196293875,136.014000000,135.609695435,4294967296,13.862474767,13.903804126
fp32,1,256,8192,0,164,196294015,196294140,132.859000000,132.606872559,17179869184,21.206681867,21.247002450
fp32,1,256,8192,1,164,196294140,196294281,133.308000000,133.028915405,17179869184,21.135254795,21.179594959
fp32,1,256,8192,2,164,196294281,196294406,133.620000000,133.182525635,17179869184,21.085904402,21.155166811
fp32,1,256,8192,3,164,196294406,196294546,133.424000000,133.143234253,17179869184,21.116879618,21.161409830
fp32,1,256,8192,4,164,196294546,196294687,134.024000000,133.758255005,17179869184,21.022343358,21.064109621
fp32,1,1024,8192,0,50,196294828,196294968,141.858000000,141.640960693,68719476736,24.221220071,24.258334736
fp32,1,1024,8192,1,50,196294968,196295109,142.067000000,141.837768555,68719476736,24.185587341,24.224674935
fp32,1,1024,8192,2,50,196295109,196295250,141.574000000,141.156768799,68719476736,24.269808276,24.341544979
fp32,1,1024,8192,3,50,196295250,196295390,141.256000000,140.886901855,68719476736,24.324445240,24.388170877
fp32,1,1024,8192,4,50,196295390,196295531,141.544000000,141.204391479,68719476736,24.274952218,24.333335534
fp32,2,64,8192,0,239,196295656,196295781,121.523000000,121.221916199,8589934592,16.893874966,16.935834970
fp32,2,64,8192,1,239,196295781,196295906,121.389000000,121.124076843,8589934592,16.912523931,16.949515084
fp32,2,64,8192,2,239,196295906,196296031,122.369000000,121.951080322,8589934592,16.777078897,16.834573028
fp32,2,64,8192,3,239,196296031,196296156,121.581000000,121.281440735,8589934592,16.885815773,16.927522917
